"description","teamname","shotdistance","makeormiss","timer","game"
"Joe Harris misses 2-pt jump shot from 11 ft (BRK 125, TOR 125)","Brooklyn Nets",11.3,1,23.3,"BRKTOR"
"Kawhi Leonard makes 2-pt jump shot from 16 ft (assist by Kyle Lowry) (TOR 127, BRK 125)","Toronto Raptors",16.3,8,4.5,"BRKTOR"
"D'Angelo Russell misses 3-pt jump shot from 26 ft (BRK 125, TOR 127)","Brooklyn Nets",26.3,3,1.5,"BRKTOR"
"Luke Kornet misses 3-pt jump shot from 26 ft (NYK 104, CLE 105)","New York Knicks",26.9,3,21.2,"NYKCLE"
"John Jenkins misses 3-pt jump shot from 23 ft (NYK 104, CLE 107)","New York Knicks",23.9,3,7.2,"NYKCLE"
"Kevin Durant misses 3-pt jump shot from 26 ft (GSW 118, MIA 118)","Golden State Warriors",26.9,3,7.9,"MIAGSW"
"Dion Waiters misses 3-pt jump shot from 28 ft (MIA 118, GSW 120)","Miami Heat",28.7,3,2.9,"MIAGSW"
"Bam Adebayo misses 2-pt layup from 7 ft (MIA 118, GSW 120)","Miami Heat",7.7,1,0.9,"MIAGSW"
"Damian Lillard misses 2-pt layup from 4 ft (POR 101, DAL 102)","Portland Blazers",4.7,1,2.9,"PORDAL"
"James Harden misses 3-pt jump shot from 26 ft (HOU 112, OKC 113)","Houston Rockets",26.7,3,4.5,"HOUOKC"
"Kyle Kuzma makes 3-pt jump shot from 24 ft (assist by Brandon Ingram) (LAL 127, BOS 126)","LA Lakers",24.7,10,19.2,"BOSLAL"
"Kyrie Irving makes 2-pt jump shot from 6 ft (BOS 128, LAL 127)","Boston Celtics",6.3,8,11.1,"BOSLAL"
"Brandon Ingram misses 2-pt layup from 2 ft (block by Al Horford) (LAL 127, BOS 128)","LA Lakers",2.4,1,3.1,"BOSLAL"
"Rajon Rondo makes 2-pt jump shot from 19 ft (LAL 129, BOS 128)","LA Lakers",19.3,8,1.1,"BOSLAL"
"Andrew Wiggins misses 2-pt jump shot from 12 ft (MIN 104, MEM 106)","Minnesota TWolves",12.3,1,18.4,"MINMEM"
"Mike Conley misses 3-pt jump shot from 25 ft (MEM 106, MIN 106)","Memphis Grizzlies",25.3,3,3.4,"MINMEM"
"Tobias Harris makes 2-pt jump shot from 7 ft (LAC 117, CHO 115)","LA Clippers",7.5,8,4.7,"LACCHO"
"Marvin Williams misses 3-pt jump shot from 25 ft (CHO 115, LAC 117)","Charlotte Hornets",25.5,3,0.7,"LACCHO"
"Tim Frazier misses 3-pt jump shot from 26 ft (NOP 108, SAS 111)","New Orleans Pelicans",26.5,3,4.7,"NOPSAS"
"Luol Deng misses 3-pt jump shot from 22 ft (MIN 106, DEN 107)","Minnesota TWolves",22.5,3,3.7,"DENMIN"
"Shabazz Napier misses 3-pt jump shot from 26 ft (BRK 114, SAS 117)","Brooklyn Nets",26.5,3,0.1,"BRKSAS"
"Avery Bradley misses 3-pt jump shot from 26 ft (LAC 112, LAL 112)","LA Clippers",26.2,3,10.3,"LACLAL"
"LeBron James misses 2-pt layup from 4 ft (block by Tobias Harris) (LAL 112, LAC 112)","LA Lakers",4.7,1,3.3,"LACLAL"
"Lou Williams misses 3-pt jump shot from 27 ft (LAC 112, LAL 112)","LA Clippers",27.7,3,0.3,"LACLAL"
"Harrison Barnes misses 3-pt jump shot from 27 ft (DAL 88, DET 91)","Sacramento Kings",27.3,3,11.3,"DALDET"
"Mike Conley misses 2-pt layup at rim (MEM 93, MIN 93)","Memphis Grizzlies",0.3,1,16.6,"MEMMIN"
"Jerryd Bayless misses 2-pt jump shot from 20 ft (MIN 93, MEM 93)","Minnesota TWolves",20.3,1,3.5,"MEMMIN"
"Josh Jackson makes 2-pt dunk from 1 ft (PHO 124, SAS 124)","Phoenix Suns",1.4,8,19.3,"SASPHO"
"Rudy Gay makes 2-pt jump shot from 21 ft (SAS 126, PHO 124)","San Antonio Spurs",21.4,8,0.8,"SASPHO"
"Troy Brown misses 3-pt jump shot from 24 ft (block by Cedi Osman) (WAS 113, CLE 116)","Washington Wizards",24.4,3,1.8,"WASCLE"
"Kyle Anderson misses 2-pt jump shot from 7 ft (MEM 92, DEN 93)","Memphis Grizzlies",7.4,1,10.2,"DENMEM"
"Kyle Anderson misses 2-pt jump shot from 18 ft (MEM 92, DEN 93)","Memphis Grizzlies",18.4,1,6.2,"DENMEM"
"Rodney Hood misses 2-pt layup from 2 ft (block by Robin Lopez) (CLE 100, CHI 101)","Cleveland Cavs",2.4,1,17.2,"CHICLE"
"Alec Burks makes 2-pt jump shot from 10 ft (CLE 102, CHI 101)","Cleveland Cavs",10.5,8,17.0,"CHICLE"
"Kyrie Irving misses 2-pt jump shot from 9 ft (BOS 111, GSW 113)","Boston Celtics",9.5,3,22.0,"GSWBOS"
"Marcus Morris misses 3-pt jump shot from 25 ft (BOS 111, GSW 113)","Boston Celtics",25.4,3,10.0,"GSWBOS"
"Jerryd Bayless misses 2-pt jump shot from 23 ft (MIN 102, UTA 103)","Minnesota TWolves",23.4,1,24.5,"UTAMIN"
"Luol Deng misses 3-pt jump shot from 23 ft (MIN 102, UTA 103)","Minnesota TWolves",23.2,3,17.3,"UTAMIN"
"Anthony Tolliver misses 3-pt jump shot from 27 ft (block by Rudy Gobert) (MIN 102, UTA 105)","Minnesota TWolves",27.2,3,3.5,"UTAMIN"
"Kawhi Leonard misses 3-pt jump shot from 26 ft (TOR 119, HOU 121)","Toronto Raptors",26.2,3,0.5,"TORHOU"
"DeMar DeRozan misses 2-pt layup from 1 ft (block by Wilson Chandler) (SAS 120, PHI 121)","San Antonio Spurs",1.2,1,7.8,"SASPHI"
"Allonzo Trier makes 2-pt layup from 1 ft (NYK 110, HOU 109)","New York Knicks",4.6,8,20.8,"NYKHOU"
"Eric Gordon makes 3-pt jump shot from 28 ft (HOU 112, NYK 110)","Houston Rockets",28.3,10,11.8,"NYKHOU"
"Frank Jackson misses 3-pt jump shot from 25 ft (NOP 92, DET 95)","New Orleans Pelicans",25.3,3,20.1,"NOPDET"
"Danny Green misses 3-pt jump shot from 24 ft (TOR 104, IND 107)","Toronto Raptors",24.3,3,9.7,"TORIND"
"Derrick Rose makes 2-pt jump shot from 20 ft (MIN 116, PHO 114)","Minnesota TWolves",20.3,8,1.7,"MINPHO"
"Jimmy Butler makes 2-pt layup at rim (PHI 115, OKC 113)","Philadelphia Sixers",0.9,8,6.7,"OKCPHI"
"Paul George makes 3-pt jump shot from 26 ft (assist by Terrance Ferguson) (OKC 116, PHI 115","OKC Thunder",26.4,10,5.2,"OKCPHI"
"Jimmy Butler misses 3-pt jump shot from 27 ft (PHI 115, OKC 117)","Minnesota TWolves",27.4,3,0.2,"OKCPHI"
"Eric Gordon makes 3-pt jump shot from 26 ft (assist by Austin Rivers) (HOU 120, LAL 120)","Houston Rockets",26.3,10,2.4,"LALHOU"
"Kentavious Caldwell-Pope misses 3-pt jump shot from 39 ft (LAL 120, HOU 120)","LA Lakers",39.3,3,0.4,"LALHOU"
"Buddy Hield makes 3-pt jump shot from 27 ft (SAC 103, DET 101)","Sacramento Kings",27.3,10,0.9,"SACDET"
"Evan Fournier misses 2-pt jump shot from 6 ft (ORL 115, BRK 117)","Orlando Magic",6.3,1,0.8,"ORLBRK"
